Delay,Flight,DayOfWeek,Time,Length,Airline_enc,AirportFrom_enc,AirportTo_enc
1,68,3,360,160,3,102,145
1,4223,3,1055,58,0,83,107
0,1705,3,785,135,1,78,193
1,1178,3,405,123,4,204,94
1,856,3,1100,85,15,248,238
0,2692,3,1140,189,5,213,193
0,3640,4,425,170,10,59,180
0,2704,3,700,130,10,78,191
0,1604,3,785,108,5,259,256
1,1696,3,577,150,5,14,20
1,1406,3,540,95,1,78,129
0,1411,3,715,190,5,83,77
1,6302,4,450,130,11,69,33
1,323,3,805,67,4,132,194
1,4624,3,385,104,12,98,256
0,1810,3,360,220,4,257,132
0,2648,4,415,72,5,269,14
0,3761,3,1180,85,15,32,247
0,2791,3,815,135,16,132,69
1,1431,3,465,322,14,58,151
0,395,4,450,136,13,247,248
0,3656,3,410,60,0,163,193
0,375,4,450,70,15,213,238
1,6733,3,543,214,12,279,77
0,2803,3,670,75,10,78,249
0,4518,3,760,83,12,256,77
0,6987,3,1110,108,12,31,204
0,887,3,440,125,8,43,181
0,272,3,745,75,15,253,238
0,728,4,450,196,7,77,76
1,2004,3,940,185,1,204,180
0,1853,3,540,162,4,56,236
1,7078,3,858,80,6,233,131
0,5137,3,1220,97,6,14,39
0,744,3,487,227,13,77,33
1,4692,3,1200,125,10,145,59
1,454,3,485,134,7,181,156
1,1269,3,777,69,5,31,14
1,5600,3,390,90,6,281,14
1,2739,3,479,127,5,76,14
1,1246,3,765,110,5,58,83
1,6250,3,790,38,12,210,227
1,950,3,840,55,15,239,73
1,2262,3,1055,118,5,83,212
1,940,3,830,149,13,77,204
1,2516,3,965,60,16,56,233
0,6453,3,1135,91,11,69,229
1,373,3,847,38,9,125,158
1,1973,3,1165,195,1,180,78
1,104,3,1140,202,2,12,247
1,767,3,900,281,4,132,247
1,1579,3,1035,103,14,212,58
1,6256,3,966,76,12,204,56
0,7137,3,1045,87,6,131,45
1,4196,3,1160,120,10,204,43
0,1240,3,420,123,3,58,33
1,4353,3,1170,80,10,204,56
1,6818,3,477,56,12,204,54
0,1263,3,455,175,1,180,132
0,503,3,586,197,3,94,102
1,672,3,1190,65,15,150,213
0,292,4,405,174,4,94,170
0,6752,3,1060,55,12,204,107
0,246,3,1365,310,1,147,151
1,1510,3,695,170,1,180,145
0,4488,4,410,60,12,163,193
1,6260,3,796,58,12,260,204
1,1593,3,1074,76,8,114,14
0,445,4,433,253,13,43,77
1,2108,3,965,105,15,31,271
1,21,3,1150,385,1,145,151
0,1361,3,885,65,15,150,151
0,632,3,605,243,14,213,216
0,6553,3,405,96,11,154,76
1,3851,3,635,120,10,204,14
1,4374,3,1085,50,10,204,60
0,1172,3,870,70,4,94,33
0,426,3,1145,164,7,77,14
0,6320,3,439,46,12,238,151
1,1723,3,585,215,4,132,203
1,1181,3,460,80,15,43,59
0,4044,3,840,92,0,83,171
0,2498,3,880,119,16,2,132
0,2575,4,423,92,5,118,14
1,7114,3,1020,96,6,131,145
1,171,3,745,225,15,247,263
0,797,3,539,77,13,150,151
0,3395,3,1080,75,10,78,39
0,477,3,845,110,1,78,2
1,2005,3,615,230,15,150,59
1,4244,3,735,53,0,83,19
1,28,3,860,85,15,73,169
0,707,4,420,250,1,156,78
0,2898,3,480,65,15,213,2
0,4950,3,730,74,6,14,154
0,5902,3,362,63,16,214,204
0,557,4,360,135,8,41,14
0,1250,3,391,89,3,131,33
1,6427,3,547,128,12,25,204
1,1885,3,660,215,1,78,98
1,934,3,1195,95,15,150,89
1,1428,4,360,180,4,58,132
0,7305,3,367,79,17,58,131
0,600,3,405,170,4,102,94
0,6923,3,1140,79,12,248,5
1,2515,3,1280,64,16,132,128
0,162,3,505,65,15,150,238
0,1813,3,520,114,5,14,263
0,1373,4,390,82,5,33,156
0,2668,3,961,88,17,58,31
0,1510,3,685,170,5,77,83
0,3944,3,1160,88,0,193,168
0,1860,3,600,65,1,180,170
1,704,3,740,195,15,256,172
1,3064,3,740,118,16,52,94
1,1667,3,745,90,15,259,257
1,1400,3,875,155,1,204,170
0,3946,4,375,118,0,191,174
0,535,3,390,155,15,138,172
0,3905,3,475,80,10,74,204
0,261,3,515,286,13,151,170
0,7789,3,795,67,12,266,256
1,4137,3,1295,45,0,83,168
0,4063,3,1230,127,0,145,216
0,702,3,705,265,14,213,212
1,4188,3,945,115,10,204,0
0,588,4,455,75,15,172,216
0,3815,3,520,108,0,174,181
0,1244,3,430,172,8,104,170
1,1492,3,780,170,5,193,33
1,1600,3,1220,130,15,43,25
0,870,3,850,369,2,12,125
0,510,3,390,143,7,238,77
1,1719,3,830,250,1,263,151
0,47,3,1170,105,15,126,31
0,2437,3,389,104,16,94,228
0,186,3,840,227,14,204,213
1,205,3,565,110,15,172,228
0,1756,4,380,168,5,239,193
0,2526,4,400,123,5,102,14
1,1724,3,965,110,5,14,43
0,1240,4,420,123,3,58,33
0,4697,3,360,100,10,83,156
0,3768,3,360,165,10,94,204
1,4951,3,1007,88,6,14,69
0,391,4,445,100,15,136,169
1,1115,3,1042,123,3,229,170
1,5108,3,751,97,6,99,14
0,636,3,1040,105,1,2,78
1,1180,3,860,70,15,198,203
1,2750,4,360,100,10,143,78
0,55,3,1235,138,14,212,204
1,1075,3,450,55,15,89,2
0,1235,4,420,327,5,94,256
0,1837,3,1103,81,5,218,14
0,5295,3,986,64,6,14,280
0,2723,4,450,85,16,132,200
0,3848,3,1175,127,0,83,25
0,350,3,792,119,13,204,229
0,2992,3,745,115,10,71,78
0,552,4,360,315,1,248,180
1,2150,3,623,113,5,247,256
0,807,3,715,65,15,32,109
1,3979,3,575,100,0,41,145
1,333,4,405,235,4,156,132
0,1056,3,480,95,1,78,263
0,395,3,645,200,1,180,78
0,954,3,400,85,13,151,248
1,706,3,475,120,4,132,271
0,3204,3,475,55,10,78,251
1,2038,3,710,60,15,263,172
0,5,3,565,60,15,126,194
1,4330,3,800,75,10,204,69
1,3074,3,820,205,15,179,170
0,4487,3,405,199,12,132,256
0,3659,3,345,183,0,10,14
0,5167,3,1160,84,6,174,155
1,6271,3,1240,61,11,69,92
1,2812,3,820,125,15,43,172
0,729,3,1050,153,13,131,271
0,6647,4,345,107,12,44,77
0,2650,3,1034,252,5,256,43
1,6759,4,371,115,12,159,204
1,964,3,1015,170,15,41,170
1,3065,3,563,146,16,94,52
1,3157,3,705,275,15,172,238
0,6379,3,360,88,11,33,145
1,7771,3,590,86,12,256,250
1,925,3,1140,120,15,77,193
0,6830,3,1214,129,12,32,151
0,1507,4,420,97,14,43,58
1,4332,3,925,110,10,204,268
0,5233,3,345,97,6,39,14
1,2487,3,890,160,5,14,193
1,2627,3,916,162,5,83,194
1,2467,3,980,110,5,58,83
1,248,3,1120,85,13,204,83
1,526,3,955,70,15,42,198
0,65,3,633,24,2,282,221
1,11,3,960,89,5,14,170
0,1947,3,720,160,5,156,14
0,371,3,445,140,5,14,132
0,6616,3,857,62,12,77,81
0,3668,3,675,100,15,256,213
0,1848,4,405,160,14,193,212
0,534,3,540,120,13,213,77
0,7253,3,872,108,17,174,204
1,849,3,1105,375,13,212,151
1,4001,3,565,96,0,174,73
0,1304,4,451,73,3,131,145
0,1051,3,510,245,1,213,180
0,6645,3,825,79,11,83,154
0,7799,3,360,89,12,62,256
0,6300,4,360,59,12,98,151
0,3974,4,390,82,0,275,83
1,972,4,420,83,14,144,58
0,354,3,915,90,1,169,204
1,578,3,625,143,2,210,238
0,354,3,1225,124,2,247,198
0,4513,3,725,94,12,200,174
0,853,3,708,99,13,238,248
0,9,3,875,167,14,247,213
1,4540,3,703,82,12,192,256
0,2895,3,730,109,17,81,213
0,2137,3,505,115,5,174,83
0,1850,3,814,186,5,150,193
0,5403,3,430,122,6,117,174
0,1197,3,525,351,5,151,199
1,4061,3,1080,100,10,204,249
0,1228,3,1215,100,3,228,33
0,658,4,380,156,13,253,77
1,1250,3,1145,110,5,14,236
1,34,3,840,288,13,199,248
1,823,3,1015,140,1,78,274
1,1719,3,730,305,5,83,151
1,748,3,1105,125,15,170,43
1,474,3,781,316,3,151,33
1,2945,3,679,59,17,58,52
0,4117,3,370,110,10,272,204
1,487,3,760,144,8,43,170
1,6475,3,976,70,12,151,285
0,3985,3,505,70,10,204,235
0,2277,3,1165,103,5,174,78
0,258,3,480,155,2,247,151
1,2459,3,390,100,15,200,77
1,6717,3,984,200,12,83,77
1,1484,3,1055,115,5,83,94
1,4581,3,360,110,10,58,156
1,6550,3,445,116,12,274,77
0,3151,3,710,139,16,279,132
0,4153,3,495,59,0,168,83
0,1767,3,770,190,1,78,222
1,973,3,400,145,15,253,77
0,2025,3,880,131,16,132,2
0,21,3,560,375,9,247,125
1,599,3,855,149,4,132,77
0,2535,3,775,211,5,156,194
1,160,3,835,75,15,257,203
0,333,3,447,102,13,216,204
1,485,3,1235,115,1,204,273
1,676,3,1260,311,3,151,145
1,5192,3,1075,120,6,184,14
0,103,4,331,35,9,125,158
0,4642,3,815,144,12,200,256
1,566,3,850,135,1,213,78
0,2169,3,660,94,5,14,170
1,3762,3,905,80,15,150,231
1,526,3,1052,153,3,170,94
0,1988,3,630,112,14,236,58
1,4667,3,380,154,12,273,256
1,2339,3,720,120,5,76,14
1,774,3,980,70,15,212,216
0,4597,3,870,90,10,228,156
0,1832,3,715,199,4,132,156
0,2602,3,420,72,17,240,58
0,3330,3,960,85,10,249,78
1,464,3,779,178,3,236,33
0,4047,3,1185,123,0,174,152
0,1592,4,385,249,5,238,14
0,6849,3,671,38,12,210,227
0,328,3,370,83,5,143,14
1,2931,3,1009,74,16,132,175
1,5,3,550,354,2,76,151
0,1024,3,365,175,5,20,14
0,6571,3,840,81,11,15,83
0,780,3,1195,105,7,150,77
1,1722,3,945,122,5,83,33
1,162,3,405,187,4,203,132
0,729,4,415,65,15,213,150
0,521,3,560,156,8,43,271
1,7034,3,780,107,12,248,210
0,6375,3,1040,73,11,14,118
0,115,3,1110,223,2,247,12
1,2058,3,1125,156,5,170,145
0,2622,3,910,230,5,213,83
1,3156,3,915,95,16,56,212
0,116,3,776,242,13,151,204
0,258,3,1045,70,15,150,151
0,2605,3,1045,251,5,193,248
1,922,3,425,90,15,257,259
1,632,3,760,81,8,74,43
1,3244,3,890,160,15,238,16
0,277,3,435,190,15,151,169
0,1430,3,475,135,1,78,271
0,6988,3,764,35,12,77,63
1,4648,3,1095,92,12,109,256
1,3786,3,925,155,10,132,204
0,112,4,90,200,2,12,247
1,61,3,772,184,3,145,102
1,1486,4,400,127,5,14,156
1,232,3,630,150,7,77,31
0,2586,3,665,215,5,256,14
0,799,3,1001,88,13,56,204
1,738,3,675,229,3,35,145
0,6445,3,920,87,11,83,15
1,484,3,653,195,13,77,76
0,3596,3,465,45,15,236,170
1,4664,3,535,95,10,56,156
0,4293,3,655,125,0,145,41
0,1505,3,451,288,14,58,213
1,3747,3,785,145,10,212,204
1,618,3,897,111,13,204,76
0,7006,3,360,41,12,91,210
1,2280,3,360,110,5,263,14
0,2401,3,390,205,1,78,151
0,3357,4,360,115,10,186,78
0,2367,3,502,290,5,14,238
1,119,3,670,70,15,212,223
0,6341,3,1202,42,12,238,151
0,6285,4,360,155,12,176,77
1,760,3,530,300,15,172,248
0,6770,4,370,100,11,136,76
0,280,3,505,160,14,239,213
1,415,3,560,85,1,193,204
1,5586,3,965,76,6,14,99
1,821,4,370,75,15,198,151
1,1500,3,810,185,4,102,94
1,1664,3,1000,250,15,213,43
1,1444,3,780,49,14,58,228
0,5233,4,345,97,6,39,14
1,44,3,815,178,4,180,94
0,23,3,620,111,8,172,14
0,2280,4,360,110,5,263,14
1,55,3,1200,60,15,73,126
1,718,3,1005,165,15,179,172
0,673,3,1055,177,2,77,247
0,506,3,370,364,14,33,213
1,423,3,655,211,5,14,255
1,1605,3,1000,270,1,204,238
1,3099,3,349,81,12,201,181
0,1852,4,425,85,15,212,33
1,6247,3,628,69,12,151,98
1,6731,3,511,185,12,181,77
1,2188,3,775,90,16,229,94
0,1978,3,1130,116,5,209,14
1,768,3,1125,85,15,194,271
1,6888,3,789,177,12,89,204
1,1028,3,820,152,14,212,170
1,1605,3,1259,172,8,170,78
0,324,3,620,90,15,77,169
0,2948,3,660,70,10,78,153
1,1843,3,568,96,14,58,170
0,152,3,1125,255,13,248,204
1,1076,3,560,60,15,151,150
1,2187,3,1140,77,14,156,76
0,3110,3,475,78,12,181,46
1,1611,3,1373,75,5,14,218
1,1827,3,1030,225,1,78,257
1,1979,3,1070,97,14,223,212
0,844,3,530,151,7,247,77
0,1182,3,1198,166,5,256,263
1,2086,3,400,165,16,159,94
0,5219,3,1210,126,6,76,144
0,2970,3,645,95,16,152,132
0,972,3,604,256,13,248,204
0,269,3,1011,135,13,229,204
0,4143,3,345,59,0,107,83
0,2621,3,1205,122,5,256,151
1,2408,4,55,170,1,151,78
1,6301,4,393,86,12,231,151
1,30,3,960,75,15,89,213
0,2442,3,390,55,15,73,16
1,1260,3,1335,160,1,180,156
0,2506,4,440,136,16,31,132
0,777,3,1176,361,3,33,150
0,8,4,435,197,8,255,170
0,2169,4,385,114,16,94,59
0,583,3,525,179,3,127,102
0,99,3,780,221,2,247,12
0,471,3,400,110,13,273,77
1,671,3,525,168,8,181,170
0,1195,3,1080,210,1,229,78
1,522,3,1155,105,15,31,170
0,2141,4,405,79,16,233,56
1,6381,3,1060,151,12,204,78
0,363,3,465,168,3,156,209
0,602,3,750,73,3,145,224
1,20,3,740,65,15,73,152
1,1747,3,875,65,15,172,83
1,171,3,1335,98,8,14,236
0,2515,3,380,160,1,263,180
1,2704,3,1370,81,5,14,228
0,5267,3,420,129,6,46,14
1,4295,3,1260,55,10,204,107
0,2095,3,495,60,15,73,159
1,589,3,1120,179,3,127,102
0,144,3,910,139,7,77,126
0,6503,3,1194,89,12,248,91
1,1611,3,1185,54,14,228,58
0,975,3,610,149,14,193,58
1,108,3,890,170,15,170,172
0,7387,3,970,89,6,69,263
0,380,3,830,90,15,193,172
1,68,4,360,160,3,102,145
1,1108,3,1075,280,15,102,77
0,35,3,1270,87,14,213,151
0,1657,3,435,105,5,69,14
1,1030,3,925,97,4,56,33
0,6257,3,906,122,12,77,32
0,5505,3,840,77,6,119,14
1,183,3,936,37,9,125,158
1,6335,3,987,41,12,238,151
0,2813,3,735,145,10,78,225
0,727,3,1150,65,15,198,42
0,1789,3,535,190,1,78,238
0,357,3,540,120,2,198,247
0,251,3,1070,324,14,212,213
0,1913,3,570,108,14,204,58
1,730,3,1085,85,5,52,14
0,634,3,750,105,14,253,213
0,6717,3,1119,135,12,77,222
1,1325,3,1095,60,15,43,138
0,3739,3,680,130,10,204,94
0,2940,3,520,137,16,94,83
1,7310,3,1072,118,6,201,83
1,7341,3,405,130,6,200,14
1,1968,3,1015,170,15,33,172
0,4867,3,1310,80,12,193,27
0,466,3,1053,147,13,248,77
0,4013,3,350,95,10,154,204
0,33,4,375,136,13,78,77
0,2206,3,1000,110,15,257,213
0,206,4,300,36,9,125,199
0,2917,3,1045,140,10,78,59
0,4139,3,1018,82,0,27,193
1,4536,3,1080,60,10,228,76
0,6405,3,360,105,12,210,248
0,2411,3,655,158,5,14,78
0,2642,3,645,132,5,14,94
0,756,3,348,158,13,248,77
1,7235,3,495,70,17,131,10
1,6810,3,1204,54,12,206,210
0,728,3,335,231,3,35,145
1,608,3,1340,74,3,145,224
1,5499,3,1055,110,6,33,76
0,263,3,972,49,9,140,125
0,2181,3,1045,100,5,14,194
1,1204,3,656,174,8,236,172
1,635,3,1020,185,2,213,247
0,3721,3,420,59,0,168,83
1,815,3,685,125,15,246,271
0,4864,3,1040,138,12,193,31
0,425,3,695,55,15,126,239
0,2008,3,985,118,16,132,144
1,46,3,750,193,4,151,132
0,6822,3,712,69,12,248,226
1,4391,4,351,59,0,168,83
0,6243,4,389,201,12,239,151
1,6404,3,526,92,12,248,91
1,2372,3,989,95,5,271,14
1,593,3,1270,110,15,43,136
1,4884,3,823,57,12,256,134
0,2121,4,420,115,15,257,247
0,6752,4,430,180,11,109,193
0,2831,3,435,125,5,156,83
0,1222,3,1020,219,5,256,14
1,4525,3,890,220,10,156,283
1,1003,3,1135,70,15,2,274
1,507,3,435,310,15,271,150
1,1079,3,855,100,15,271,194
1,6449,3,1040,210,12,204,256
1,6327,3,420,101,11,58,69
1,861,3,800,100,15,33,212
0,6692,3,684,45,12,238,151
0,36,3,905,354,9,125,213
0,1499,3,740,95,15,273,126
0,3506,4,430,125,15,213,198
1,2042,3,1180,99,16,132,25
0,6352,3,927,102,12,210,248
1,1247,3,830,157,14,209,212
0,694,3,415,85,15,257,238
1,6706,3,751,119,11,229,83
1,24,3,720,55,15,126,73
0,3982,3,420,95,0,92,83
0,4599,4,375,175,10,156,193
0,2476,3,809,128,16,94,69
1,763,3,1184,107,8,209,14
0,6639,3,1006,104,12,44,77
0,6404,3,635,108,11,33,76
1,4981,3,990,61,6,119,14
0,6437,3,405,117,11,229,69
0,184,3,720,67,2,96,12
0,1189,3,1070,294,5,43,256
0,1690,3,1035,114,14,236,58
0,2469,3,475,65,16,132,66
0,2102,3,420,44,16,153,132
0,31,3,1410,344,14,199,213
0,165,3,900,394,5,145,151
0,2600,3,1140,143,5,193,43
0,6332,3,930,36,12,210,91
0,1471,3,1151,152,5,14,200
0,1446,3,1330,292,14,151,212
0,652,3,535,155,1,78,229
0,1226,3,1220,165,1,180,156
0,130,3,546,319,13,151,212
0,2865,3,770,65,17,101,213
0,776,3,1130,70,1,150,151
1,4322,3,480,144,0,31,193
1,4074,3,940,105,10,283,204
0,7070,3,360,116,6,232,204
1,3049,3,703,110,16,196,94
1,1331,3,1160,100,15,179,212
0,4667,4,380,154,12,273,256
1,1097,4,440,204,4,132,150
0,6985,3,1167,70,12,77,225
0,2093,3,705,237,5,193,259
0,3501,3,480,95,15,193,172
0,4114,3,625,87,0,191,83
1,3073,3,385,90,15,223,43
0,6653,3,939,33,12,187,248
1,3224,3,575,170,15,172,16
0,4523,3,990,80,10,33,156
0,6466,3,300,53,12,141,151
1,1104,3,700,83,3,228,145
0,6578,3,420,59,11,56,83
1,224,3,675,92,4,56,94
0,1884,3,755,70,15,150,213
1,3562,3,1100,185,10,56,78
0,889,3,570,350,2,238,199
1,1540,3,965,70,15,231,150
1,1662,3,1160,131,4,132,236
0,6602,3,1262,43,12,257,248
0,2065,3,660,75,5,14,85
0,6384,3,670,119,11,69,156
1,289,3,435,130,15,213,248
1,4308,3,1330,85,10,204,31
1,2276,3,420,150,5,170,156
0,1134,3,440,70,15,156,43
0,1563,4,395,150,4,236,132
0,2783,3,845,60,10,78,106
0,2008,3,1070,117,5,77,193
0,220,4,445,126,2,247,248
0,2804,3,1180,88,16,132,174
0,2718,3,1110,100,5,170,14
0,226,4,360,342,13,248,33
0,269,3,490,200,5,145,180
0,537,4,380,166,2,203,247
0,6622,3,936,53,12,77,112
1,374,3,785,119,14,58,145
0,1155,4,375,70,15,203,213
0,4454,3,1080,80,10,76,145
0,542,4,380,113,14,253,213
1,964,4,445,240,15,247,172
1,2787,3,420,81,5,97,193
0,69,3,848,365,13,151,158
0,3635,3,680,125,10,180,58
0,2735,3,370,80,17,89,213
0,6294,3,1059,63,12,81,77
0,2053,3,1155,155,15,150,16
1,2186,3,820,135,5,14,156
0,3029,3,1125,140,10,151,77
1,5925,3,660,96,16,204,105
0,424,3,540,135,13,271,131
1,3671,3,730,119,0,83,80
0,1979,3,405,69,5,25,14
0,433,3,800,243,4,156,132
1,4478,3,375,205,12,204,256
0,1141,4,345,190,1,145,180
0,857,3,562,94,13,151,248
0,623,3,650,164,7,77,83
1,1109,3,720,124,14,145,58
1,1904,3,1005,185,1,204,180
1,581,3,860,170,3,127,209
0,1645,3,1077,190,4,56,132
1,6338,3,315,93,11,118,14
0,393,3,521,165,13,20,204
1,2449,3,415,259,5,31,256
1,2141,3,1140,81,14,33,156
1,4967,3,1045,106,6,14,30
1,40,3,765,75,15,170,85
1,350,3,485,155,15,172,170
1,6874,3,1040,95,12,204,161
0,2746,3,745,95,10,36,78
0,3365,3,630,65,10,152,78
0,653,4,370,201,7,14,77
0,2718,3,1265,75,15,257,203
1,3007,3,390,45,10,241,151
0,170,3,1060,89,13,151,248
0,4500,3,885,49,12,238,151
0,78,3,1130,154,3,170,145
1,1013,3,1075,135,15,77,172
0,383,3,1005,115,1,263,78
1,4293,3,660,105,10,50,204
0,5534,3,650,115,6,14,184
0,1847,3,480,85,15,172,31
0,5269,3,1085,99,6,76,69
1,7256,3,734,104,17,131,136
0,247,3,1072,103,13,77,169
0,5313,3,360,98,6,93,14
0,1753,4,400,75,15,138,43
0,2514,3,610,59,5,83,117
0,1764,3,1140,70,15,41,43
0,6695,3,741,108,12,89,77
0,6481,3,1301,77,12,77,133
1,4036,3,690,86,0,69,76
0,6530,3,1155,117,11,193,74
0,45,3,360,83,3,233,145
0,5949,3,360,159,16,40,204
0,4143,4,345,59,0,107,83
0,639,3,1026,165,13,223,204
0,5037,3,1150,78,6,14,154
0,320,3,702,265,5,257,14
1,610,4,385,129,3,144,145
1,1691,3,830,75,15,56,43
0,2829,3,990,82,17,157,213
0,2997,4,360,158,16,193,94
1,496,3,375,202,7,46,77
1,7308,3,1164,107,17,144,131
1,7072,3,860,110,6,179,131
0,5611,3,375,85,6,154,14
0,26,4,425,160,3,102,145
0,4200,3,355,64,0,279,69
1,1308,3,930,115,15,126,263
1,3311,3,775,140,15,16,77
0,2703,3,1375,59,16,132,194
0,7779,3,1020,81,12,256,250
1,964,3,840,85,15,172,41
0,5,3,800,201,14,213,204
1,6337,3,697,58,12,77,112
1,6472,3,770,105,11,171,69
0,938,3,1335,69,8,14,144
0,6351,3,1095,156,12,77,227
0,6401,3,360,53,11,130,69
0,3117,3,1120,84,12,46,181
0,5211,3,865,122,6,263,76
1,5972,3,1180,95,16,204,232
1,1218,3,715,145,14,102,76
1,1225,3,855,123,3,33,228
0,287,3,1125,144,7,263,77
1,83,3,795,374,3,145,247
1,1770,3,860,120,14,58,33
1,1768,3,730,144,14,78,58
0,1558,3,655,60,1,78,273
0,3105,3,1175,78,16,132,159
1,1930,3,855,158,14,236,212
1,2118,3,1040,115,15,2,238
1,2107,3,800,169,5,109,193
1,3669,3,390,75,0,249,174
1,475,3,360,133,13,58,204
0,514,3,780,75,15,150,256
0,1844,3,530,97,5,83,76
1,2233,3,1170,59,5,14,25
1,5237,3,1015,105,6,76,33
1,303,4,435,165,1,156,204
1,3085,3,620,68,16,223,94
1,2176,3,985,115,15,198,213
0,1114,4,405,170,1,180,156
1,1739,3,1065,85,15,43,33
0,2396,3,1035,125,16,94,83
1,47,3,1000,55,15,200,73
0,1308,3,400,142,5,16,14
1,763,3,755,300,15,170,213
1,1095,3,1085,70,15,59,43
1,1845,3,959,71,5,14,144
0,912,4,360,120,8,181,43
0,608,3,385,185,1,238,78
0,2642,3,1075,79,17,58,131
0,6699,3,1149,108,12,89,77
1,1155,3,775,85,15,169,31
0,2433,3,710,82,5,58,14
1,84,3,1045,150,5,14,145
1,6368,3,920,98,11,69,268
0,4176,3,360,80,10,59,204
1,2851,3,875,140,10,78,52
0,568,3,497,275,13,204,255
1,996,3,1250,95,15,73,263
0,1859,3,495,163,5,145,14
0,1924,3,700,85,14,58,43
0,4650,4,360,150,10,156,14
1,4561,3,905,114,12,256,253
1,536,3,420,132,13,204,156
1,2517,3,1185,278,5,83,150
1,6232,3,513,88,12,150,98
1,4162,3,1045,79,0,83,233
1,131,3,1180,125,15,172,138
0,32,3,810,75,4,194,132
1,2010,3,1035,67,16,246,56
0,2367,3,398,171,16,74,132
0,1372,3,1015,125,1,180,228
0,532,3,810,203,4,132,156
1,428,3,1105,173,3,209,33
0,602,3,418,111,13,204,76
1,936,3,990,181,14,213,193
0,6365,3,972,78,11,15,83
0,2605,3,330,62,17,196,58
1,953,3,631,145,8,102,43
0,3892,3,350,140,10,212,204
1,5248,3,616,70,6,269,14
1,4784,3,1185,162,12,256,193
1,1812,3,1170,355,1,180,151
1,179,3,595,390,1,145,248
1,1015,3,715,70,15,43,223
1,1482,4,400,170,15,41,170
1,1279,3,410,255,15,213,43
0,722,3,744,71,4,194,132
0,673,3,450,55,15,239,128
0,1606,3,545,270,5,151,83
0,2903,3,805,55,15,16,73
1,6964,4,440,50,12,210,247
0,6937,3,811,60,12,81,77
1,2993,3,780,120,15,181,43
1,168,3,884,153,13,253,77
1,1178,3,555,155,15,263,33
1,275,3,1052,98,13,204,169
1,1235,3,460,95,15,169,31
0,2718,3,605,125,10,82,78
0,104,3,445,118,5,14,83
1,1423,3,1145,50,15,43,205
1,2953,3,1034,239,5,83,256
0,6746,3,1307,70,12,77,225
0,397,3,686,225,13,150,204
0,7011,3,390,57,12,258,151
0,1830,3,1020,271,5,256,145
0,1545,3,450,100,5,76,83
0,1467,3,550,105,1,78,89
0,398,3,370,120,1,204,156
0,3693,3,895,160,10,229,180
0,110,3,1210,249,13,204,150
0,807,3,545,90,15,198,32
1,2565,3,520,337,5,14,210
0,3933,3,731,112,0,59,174
1,493,3,1060,377,3,33,247
0,6480,3,346,34,12,137,285
1,5317,3,693,76,6,45,14
1,621,3,640,260,1,78,247
0,1297,4,360,168,5,145,14
0,346,3,405,105,15,256,213
0,6726,3,800,105,11,58,69
1,6693,3,920,87,11,83,246
0,2943,4,390,130,10,78,69
1,7003,4,414,156,12,247,151
1,7295,3,1036,49,17,242,204
1,2206,3,1230,77,5,14,58
0,3968,3,1210,182,0,145,204
0,2867,3,1135,113,5,174,83
1,1827,3,668,120,5,14,102
0,2702,3,735,135,5,170,69
1,1124,3,1205,110,14,58,156
0,1766,3,890,80,14,58,76
