Flight,DayOfWeek,Time,Length,Airline_encoded,AirportFrom_encoded,AirportTo_encoded,Delay
1269,3,777,69,4,44,7,1
5600,3,390,90,10,29,7,1
2739,3,479,127,4,88,7,1
1246,3,765,110,4,108,5,1
6250,3,790,38,7,55,202,1
950,3,840,55,17,39,50,1
2262,3,1055,118,4,130,22,1
940,3,830,149,13,6,6,1
2516,3,965,60,11,64,127,1
6453,3,1135,91,9,136,95,0
373,3,847,38,6,11,23,1
1973,3,1165,195,2,183,2,1
104,3,1140,202,3,3,3,1
767,3,900,281,0,102,3,1
1579,3,1035,103,1,53,1,1
6256,3,966,76,7,65,51,1
7137,3,1045,87,10,129,116,0
4196,3,1160,120,14,65,41,1
1240,3,420,123,5,108,35,0
4353,3,1170,80,14,65,51,1
6818,3,477,56,7,65,104,1
1263,3,455,175,2,183,0,0
503,3,586,197,5,14,37,0
672,3,1190,65,17,4,12,1
292,4,405,174,0,14,13,0
6752,3,1060,55,7,65,75,0
246,3,1365,310,2,203,15,0
1510,3,695,170,2,183,9,1
4488,4,410,60,7,232,4,0
6260,3,796,58,7,177,6,1
1593,3,1074,76,15,150,7,1
445,4,433,253,13,30,24,0
2108,3,965,105,17,44,76,1
21,3,1150,385,2,82,15,1
1361,3,885,65,17,4,15,0
632,3,605,243,1,1,73,0
6553,3,405,96,9,109,40,0
3851,3,635,120,14,65,7,1
4374,3,1085,50,14,65,266,1
1172,3,870,70,0,14,35,0
426,3,1145,164,16,6,7,0
6320,3,439,46,7,205,15,0
1723,3,585,215,0,102,46,1
1181,3,460,80,17,30,68,1
4044,3,840,92,8,130,148,0
2498,3,880,119,11,126,0,0
2575,4,423,92,4,19,7,0
7114,3,1020,96,10,129,9,1
171,3,745,225,17,21,60,1
797,3,539,77,13,4,15,0
3395,3,1080,75,14,71,97,0
477,3,845,110,2,71,83,0
2005,3,615,230,17,4,68,1
4244,3,735,53,8,130,151,1
28,3,860,85,17,197,43,1
707,4,420,250,2,83,2,0
2898,3,480,65,17,1,83,0
4950,3,730,74,10,54,178,0
5902,3,362,63,11,192,6,0
557,4,360,135,15,101,7,0
1250,3,391,89,5,129,35,0
6427,3,547,128,7,41,6,1
1885,3,660,215,2,71,135,1
934,3,1195,95,17,4,55,1
1428,4,360,180,0,108,0,1
7305,3,367,79,12,108,20,0
600,3,405,170,0,72,39,0
6923,3,1140,79,7,0,91,0
2515,3,1280,64,11,102,117,1
162,3,505,65,17,4,45,0
1813,3,520,114,4,54,60,0
1373,4,390,82,4,15,25,0
2668,3,961,88,12,108,49,0
1510,3,685,170,4,6,5,0
3944,3,1160,88,8,25,58,0
1860,3,600,65,2,183,13,0
704,3,740,195,17,5,48,1
3064,3,740,118,11,36,39,1
1667,3,745,90,17,228,21,1
1400,3,875,155,2,65,13,1
3946,4,375,118,8,37,26,0
535,3,390,155,17,223,48,0
3905,3,475,80,14,66,6,0
261,3,515,286,13,2,13,0
7789,3,795,67,7,238,10,0
4137,3,1295,45,8,130,58,1
4063,3,1230,127,8,82,73,0
702,3,705,265,1,1,22,0
4188,3,945,115,14,65,197,1
588,4,455,75,17,137,73,0
3815,3,520,108,8,171,30,0
1244,3,430,172,15,119,13,0
1492,3,780,170,4,25,35,1
1600,3,1220,130,17,30,90,1
870,3,850,369,3,3,11,0
510,3,390,143,16,205,24,0
1719,3,830,250,2,128,15,1
47,3,1170,105,17,162,49,0
2437,3,389,104,11,14,42,0
186,3,840,227,1,65,12,0
205,3,565,110,17,137,42,1
1756,4,380,168,4,39,4,0
2526,4,400,123,4,72,7,0
1724,3,965,110,4,54,41,1
1240,4,420,123,5,108,35,0
4697,3,360,100,14,130,25,0
3768,3,360,165,14,14,6,0
4951,3,1007,88,10,54,27,1
391,4,445,100,17,135,43,0
1115,3,1042,123,5,56,13,1
5108,3,751,97,10,147,7,1
636,3,1040,105,2,126,2,0
1180,3,860,70,17,133,46,1
2750,4,360,100,14,159,2,1
55,3,1235,138,1,53,6,0
1075,3,450,55,17,125,83,1
1235,4,420,327,4,14,10,0
1837,3,1103,81,4,40,7,0
5295,3,986,64,10,54,223,0
2723,4,450,85,11,102,118,0
3848,3,1175,127,8,130,90,0
350,3,792,119,13,65,95,0
2992,3,745,115,14,279,2,0
552,4,360,315,2,0,19,0
2150,3,623,113,4,21,10,1
807,3,715,65,17,166,137,0
3979,3,575,100,8,101,9,1
333,4,405,235,0,83,0,1
1056,3,480,95,2,71,60,0
395,3,645,200,2,183,2,0
954,3,400,85,13,2,18,0
706,3,475,120,0,102,76,1
3204,3,475,55,14,71,142,0
2038,3,710,60,17,128,48,1
5,3,565,60,17,162,86,0
4330,3,800,75,14,65,27,1
3074,3,820,205,17,184,13,1
4487,3,405,199,7,102,10,0
3659,3,345,183,8,34,7,0
5167,3,1160,84,10,171,139,0
6271,3,1240,61,9,136,192,1
2812,3,820,125,17,30,48,1
729,3,1050,153,13,129,76,0
6647,4,345,107,7,95,24,0
2650,3,1034,252,4,5,41,0
6759,4,371,115,7,42,6,1
964,3,1015,170,17,101,13,1
3065,3,563,146,11,14,153,1
3157,3,705,275,17,137,45,1
6379,3,360,88,9,15,9,0
7771,3,590,86,7,5,107,1
925,3,1140,120,17,6,4,1
6830,3,1214,129,7,166,15,0
1507,4,420,97,1,30,1,0
4332,3,925,110,14,65,119,1
5233,3,345,97,10,57,7,0
2487,3,890,160,4,54,4,1
2627,3,916,162,4,130,86,1
2467,3,980,110,4,108,5,1
248,3,1120,85,13,65,5,1
526,3,955,70,17,233,47,1
65,3,633,24,3,270,245,0
11,3,960,89,4,54,13,1
1947,3,720,160,4,83,7,0
371,3,445,140,4,54,0,0
6616,3,857,62,7,6,171,0
3668,3,675,100,17,5,12,0
1848,4,405,160,1,25,22,0
534,3,540,120,13,1,24,0
7253,3,872,108,12,171,6,0
849,3,1105,375,13,53,15,1
4001,3,565,96,8,171,50,1
1304,4,451,73,5,129,9,0
1051,3,510,245,2,1,19,0
6645,3,825,79,9,130,178,0
7799,3,360,89,7,182,10,0
6300,4,360,59,7,94,15,0
3974,4,390,82,8,63,5,0
972,4,420,83,1,38,1,1
354,3,915,90,2,103,6,0
578,3,625,143,3,55,45,1
354,3,1225,124,3,21,47,0
4513,3,725,94,7,84,26,0
853,3,708,99,13,205,18,0
9,3,875,167,1,21,12,0
4540,3,703,82,7,220,10,1
2895,3,730,109,12,191,12,0
2137,3,505,115,4,171,5,0
1850,3,814,186,4,4,4,0
5403,3,430,122,10,106,26,0
1197,3,525,351,4,2,14,0
4061,3,1080,100,14,65,180,1
1228,3,1215,100,5,131,35,0
658,4,380,156,13,202,24,0
1250,3,1145,110,4,54,85,1
34,3,840,288,13,193,18,1
823,3,1015,140,2,71,66,1
1719,3,730,305,4,130,15,1
748,3,1105,125,17,22,41,1
474,3,781,316,5,2,35,1
2945,3,679,59,12,108,153,1
4117,3,370,110,14,140,6,0
487,3,760,144,15,30,13,1
6475,3,976,70,7,2,28,1
3985,3,505,70,14,65,174,0
2277,3,1165,103,4,171,2,0
258,3,480,155,3,21,15,0
2459,3,390,100,17,84,24,1
6717,3,984,200,7,130,24,1
1484,3,1055,115,4,130,39,1
4581,3,360,110,14,108,25,1
6550,3,445,116,7,60,24,1
3151,3,710,139,11,70,0,0
4153,3,495,59,8,110,5,0
1767,3,770,190,2,71,177,0
973,3,400,145,17,202,24,1
2025,3,880,131,11,102,83,0
21,3,560,375,6,21,11,0
599,3,855,149,0,102,24,1
2535,3,775,211,4,83,86,0
160,3,835,75,17,127,46,1
333,3,447,102,13,85,6,0
485,3,1235,115,2,65,67,1
676,3,1260,311,5,2,9,1
5192,3,1075,120,10,143,7,1
103,4,331,35,6,11,23,0
4642,3,815,144,7,84,10,0
566,3,850,135,2,1,2,1
2169,3,660,94,4,54,13,0
3762,3,905,80,17,4,54,1
526,3,1052,153,5,22,39,1
1988,3,630,112,1,132,1,0
4667,3,380,154,7,123,10,1
2339,3,720,120,4,88,7,1
774,3,980,70,17,53,73,1
4597,3,870,90,14,131,25,0
1832,3,715,199,0,102,25,0
2602,3,420,72,12,43,1,0
3330,3,960,85,14,113,2,0
464,3,779,178,5,132,35,1
4047,3,1185,123,8,171,168,0
1592,4,385,249,4,205,7,0
6849,3,671,38,7,55,202,0
328,3,370,83,4,159,7,0
2931,3,1009,74,11,102,184,1
5,3,550,354,3,88,15,1
1024,3,365,175,4,93,7,0
6571,3,840,81,9,121,5,0
780,3,1195,105,16,4,24,0
1722,3,945,122,4,130,35,1
162,3,405,187,0,7,0,1
729,4,415,65,17,1,33,0
521,3,560,156,15,30,76,0
7034,3,780,107,7,0,8,1
6375,3,1040,73,9,54,147,0
115,3,1110,223,3,21,34,0
2058,3,1125,156,4,22,9,1
2622,3,910,230,4,1,5,0
3156,3,915,95,11,64,22,1
116,3,776,242,13,2,6,0
258,3,1045,70,17,4,15,0
2605,3,1045,251,4,25,18,0
922,3,425,90,17,127,63,1
632,3,760,81,15,66,41,1
3244,3,890,160,17,205,62,1
277,3,435,190,17,2,43,0
1430,3,475,135,2,71,76,0
6988,3,764,35,7,6,120,0
4648,3,1095,92,7,173,10,1
3786,3,925,155,14,102,6,1
112,4,90,200,3,3,3,0
61,3,772,184,5,82,37,1
1486,4,400,127,4,54,25,1
232,3,630,150,16,6,49,1
2586,3,665,215,4,5,7,0
799,3,1001,88,13,64,6,0
738,3,675,229,5,9,9,1
6445,3,920,87,9,130,158,0
484,3,653,195,13,6,40,1
3596,3,465,45,17,132,13,0
4664,3,535,95,14,64,25,1
4293,3,655,125,8,82,113,0
1505,3,451,288,1,108,12,0
3747,3,785,145,14,53,6,1
618,3,897,111,13,65,40,1
7006,3,360,41,7,178,8,0
2280,3,360,110,4,128,7,1
2401,3,390,205,2,71,15,0
3357,4,360,115,14,152,2,0
2367,3,502,290,4,54,45,0
119,3,670,70,17,53,82,1
6341,3,1202,42,7,205,15,0
6285,4,360,155,7,67,24,0
760,3,530,300,17,137,18,1
6770,4,370,100,9,135,40,0
280,3,505,160,1,39,12,0
415,3,560,85,2,25,6,1
5586,3,965,76,10,54,188,1
821,4,370,75,17,133,15,1
1500,3,810,185,0,72,39,1
1664,3,1000,250,17,1,41,1
1444,3,780,49,1,108,42,1
5233,4,345,97,10,57,7,0
44,3,815,178,0,183,39,1
23,3,620,111,15,137,7,0
2280,4,360,110,4,128,7,0
55,3,1200,60,17,197,61,1
718,3,1005,165,17,184,48,1
673,3,1055,177,3,6,3,0
506,3,370,364,1,15,12,0
423,3,655,211,4,54,38,1
1605,3,1000,270,2,65,45,1
3099,3,349,81,7,18,30,1
1852,4,425,85,17,53,35,0
6247,3,628,69,7,2,135,1
6731,3,511,185,7,16,24,1
2188,3,775,90,11,56,39,1
1978,3,1130,116,4,86,7,0
768,3,1125,85,17,28,76,1
6888,3,789,177,7,125,6,1
1028,3,820,152,1,53,13,1
1605,3,1259,172,15,22,2,1
324,3,620,90,17,6,43,0
2948,3,660,70,14,71,250,0
1843,3,568,96,1,108,13,1
152,3,1125,255,13,0,6,0
1076,3,560,60,17,2,33,1
2187,3,1140,77,1,83,40,1
3110,3,475,78,7,16,144,0
1611,3,1373,75,4,54,160,1
1827,3,1030,225,2,71,21,1
1979,3,1070,97,1,80,22,1
844,3,530,151,16,21,24,0
1182,3,1198,166,4,5,60,0
2086,3,400,165,11,42,39,1
5219,3,1210,126,10,88,52,0
2970,3,645,95,11,107,0,0
972,3,604,256,13,0,6,0
269,3,1011,135,13,56,6,0
4143,3,345,59,8,81,5,0
2621,3,1205,122,4,5,15,0
2408,4,55,170,2,2,2,1
6301,4,393,86,7,196,15,1
30,3,960,75,17,125,12,1
2442,3,390,55,17,197,62,0
1260,3,1335,160,2,183,25,1
2506,4,440,136,11,44,0,0
777,3,1176,361,5,15,33,0
8,4,435,197,15,187,13,0
2169,4,385,114,11,14,68,0
583,3,525,179,5,146,37,0
99,3,780,221,3,21,34,0
471,3,400,110,13,123,24,0
671,3,525,168,15,16,13,1
1195,3,1080,210,2,56,2,0
522,3,1155,105,17,44,13,1
2141,4,405,79,11,134,51,0
6381,3,1060,151,7,65,2,1
363,3,465,168,5,83,77,0
602,3,750,73,5,82,207,0
20,3,740,65,17,197,168,1
1747,3,875,65,17,137,5,1
171,3,1335,98,15,54,85,1
2515,3,380,160,2,128,19,0
2704,3,1370,81,4,54,42,1
5267,3,420,129,10,62,7,0
4295,3,1260,55,14,65,75,1
2095,3,495,60,17,197,65,0
589,3,1120,179,5,146,37,1
144,3,910,139,16,6,61,0
6503,3,1194,89,7,0,190,0
1611,3,1185,54,1,131,1,1
975,3,610,149,1,25,1,0
108,3,890,170,17,22,48,1
7387,3,970,89,10,136,60,0
380,3,830,90,17,25,48,0
68,4,360,160,5,72,9,1
1108,3,1075,280,17,72,24,1
35,3,1270,87,1,1,15,0
1657,3,435,105,4,136,7,0
1030,3,925,97,0,64,35,1
6257,3,906,122,7,6,88,0
5505,3,840,77,10,120,7,0
183,3,936,37,6,11,23,1
6335,3,987,41,7,205,15,1
2813,3,735,145,14,71,152,0
727,3,1150,65,17,133,87,0
1789,3,535,190,2,71,45,0
357,3,540,120,3,133,3,0
251,3,1070,324,1,53,12,0
1913,3,570,108,1,65,1,0
730,3,1085,85,4,36,7,1
634,3,750,105,1,202,12,0
6717,3,1119,135,7,6,177,0
1325,3,1095,60,17,30,128,1
3739,3,680,130,14,65,39,0
2940,3,520,137,11,14,5,0
7310,3,1072,118,10,18,5,1
7341,3,405,130,10,84,7,1
1968,3,1015,170,17,15,48,1
4867,3,1310,80,7,25,198,0
466,3,1053,147,13,0,24,0
4013,3,350,95,14,109,6,0
33,4,375,136,13,71,24,0
2206,3,1000,110,17,127,12,0
206,4,300,36,6,11,14,0
2917,3,1045,140,14,71,68,0
4139,3,1018,82,8,12,4,0
4536,3,1080,60,14,131,40,1
6405,3,360,105,7,55,18,0
2411,3,655,158,4,54,2,0
2642,3,645,132,4,54,39,0
756,3,348,158,13,0,24,0
7235,3,495,70,12,129,169,1
6810,3,1204,54,7,258,8,1
728,3,335,231,5,9,9,0
608,3,1340,74,5,82,207,1
5499,3,1055,110,10,15,40,1
263,3,972,49,6,214,11,0
2181,3,1045,100,4,54,86,0
1204,3,656,174,15,132,48,1
635,3,1020,185,3,1,3,1
3721,3,420,59,8,110,5,0
815,3,685,125,17,138,76,1
4864,3,1040,138,7,25,49,0
425,3,695,55,17,162,56,0
2008,3,985,118,11,102,52,0
46,3,750,193,0,2,0,1
6822,3,712,69,7,0,182,0
4391,4,351,59,8,110,5,1
6243,4,389,201,7,39,15,0
6404,3,526,92,7,0,190,1
2372,3,989,95,4,23,7,1
593,3,1270,110,17,30,70,1
4884,3,823,57,7,5,261,1
2121,4,420,115,17,127,3,0
6752,4,430,180,9,173,4,0
2831,3,435,125,4,83,5,0
1222,3,1020,219,4,5,7,0
4525,3,890,220,14,83,98,1
1003,3,1135,70,17,126,66,1
507,3,435,310,17,23,33,1
1079,3,855,100,17,23,86,1
6449,3,1040,210,7,65,10,1
6327,3,420,101,9,108,27,1
861,3,800,100,17,15,22,1
6692,3,684,45,7,205,15,0
36,3,905,354,6,11,12,0
1499,3,740,95,17,123,61,0
3506,4,430,125,17,1,47,0
2042,3,1180,99,11,102,90,1
6352,3,927,102,7,55,18,0
1247,3,830,157,1,86,22,1
694,3,415,85,17,127,45,0
6706,3,751,119,9,56,5,1
24,3,720,55,17,162,50,1
3982,3,420,95,8,145,5,0
4599,4,375,175,14,83,4,0
2476,3,809,128,11,14,27,0
763,3,1184,107,15,86,7,1
6639,3,1006,104,7,95,24,0
6404,3,635,108,9,15,40,0
4981,3,990,61,10,120,7,1
6437,3,405,117,9,56,27,0
184,3,720,67,3,8,34,0
1189,3,1070,294,4,30,10,0
1690,3,1035,114,1,132,1,0
2469,3,475,65,11,102,72,0
2102,3,420,44,11,244,0,0
31,3,1410,344,1,193,12,0
165,3,900,394,4,82,15,0
2600,3,1140,143,4,25,41,0
6332,3,930,36,7,55,190,0
1471,3,1151,152,4,54,118,0
1446,3,1330,292,1,2,22,0
652,3,535,155,2,71,95,0
1226,3,1220,165,2,183,25,0
130,3,546,319,13,2,22,0
2865,3,770,65,12,249,12,0
776,3,1130,70,2,4,15,0
4322,3,480,144,8,44,4,1
4074,3,940,105,14,141,6,1
7070,3,360,116,10,142,6,0
3049,3,703,110,11,59,39,1
1331,3,1160,100,17,184,22,1
4667,4,380,154,7,123,10,0
1097,4,440,204,0,102,33,1
6985,3,1167,70,7,6,152,0
2093,3,705,237,4,25,63,0
3501,3,480,95,17,25,48,0
4114,3,625,87,8,37,5,0
3073,3,385,90,17,80,41,1
6653,3,939,33,7,111,18,0
3224,3,575,170,17,137,62,1
4523,3,990,80,14,15,25,0
6466,3,300,53,7,13,15,0
1104,3,700,83,5,131,9,1
6578,3,420,59,9,64,5,0
224,3,675,92,0,64,39,1
1884,3,755,70,17,4,12,0
3562,3,1100,185,14,64,2,1
889,3,570,350,3,205,14,0
1540,3,965,70,17,196,33,1
1662,3,1160,131,0,102,85,1
6602,3,1262,43,7,127,18,0
2065,3,660,75,4,54,138,0
6384,3,670,119,9,136,25,0
289,3,435,130,17,1,18,1
4308,3,1330,85,14,65,49,1
2276,3,420,150,4,22,25,1
1134,3,440,70,17,83,41,0
1563,4,395,150,0,132,0,0
2783,3,845,60,14,71,181,0
2008,3,1070,117,4,6,4,0
220,4,445,126,3,21,18,0
2804,3,1180,88,11,102,26,0
2718,3,1110,100,4,22,7,0
226,4,360,342,13,0,35,0
269,3,490,200,4,82,19,0
537,4,380,166,3,7,3,0
6622,3,936,53,7,6,172,0
374,3,785,119,1,108,9,1
1155,4,375,70,17,7,12,0
4454,3,1080,80,14,88,9,0
542,4,380,113,1,202,12,0
964,4,445,240,17,21,48,1
2787,3,420,81,4,26,4,1
69,3,848,365,13,2,23,0
3635,3,680,125,14,183,1,0
2735,3,370,80,12,125,12,0
6294,3,1059,63,7,191,24,0
2053,3,1155,155,17,4,62,0
2186,3,820,135,4,54,25,1
3029,3,1125,140,14,2,24,0
5925,3,660,96,11,65,189,1
424,3,540,135,13,23,20,0
3671,3,730,119,8,130,258,1
1979,3,405,69,4,41,7,0
433,3,800,243,0,83,0,0
4478,3,375,205,7,65,10,1
1141,4,345,190,2,82,19,0
857,3,562,94,13,2,18,0
623,3,650,164,16,6,5,0
1109,3,720,124,1,82,1,1
1904,3,1005,185,2,65,19,1
581,3,860,170,5,146,77,1
1645,3,1077,190,0,64,0,0
6338,3,315,93,9,19,7,1
393,3,521,165,13,93,6,0
2449,3,415,259,4,44,10,1
2141,3,1140,81,1,15,25,1
4967,3,1045,106,10,54,186,1
40,3,765,75,17,22,138,1
350,3,485,155,17,137,13,1
6874,3,1040,95,7,65,234,1
2746,3,745,95,14,77,2,0
3365,3,630,65,14,107,2,0
653,4,370,201,16,54,24,0
2718,3,1265,75,17,127,46,0
3007,3,390,45,14,170,15,1
170,3,1060,89,13,2,18,0
4500,3,885,49,7,205,15,0
78,3,1130,154,5,22,9,0
1013,3,1075,135,17,6,48,1
383,3,1005,115,2,128,2,0
4293,3,660,105,14,74,6,1
5534,3,650,115,10,54,131,0
1847,3,480,85,17,137,49,0
5269,3,1085,99,10,88,27,0
7256,3,734,104,12,129,70,1
247,3,1072,103,13,6,43,0
5313,3,360,98,10,148,7,0
1753,4,400,75,17,223,41,0
2514,3,610,59,4,130,100,0
1764,3,1140,70,17,101,41,0
6695,3,741,108,7,125,24,0
6481,3,1301,77,7,6,150,0
4036,3,690,86,8,136,40,1
6530,3,1155,117,9,25,124,0
45,3,360,83,5,134,9,0
5949,3,360,159,11,68,6,0
4143,4,345,59,8,81,5,0
639,3,1026,165,13,80,6,0
5037,3,1150,78,10,54,178,0
320,3,702,265,4,127,7,0
610,4,385,129,5,38,9,1
1691,3,830,75,17,64,41,1
2829,3,990,82,12,230,12,0
2997,4,360,158,11,25,39,0
496,3,375,202,16,62,24,1
7308,3,1164,107,12,38,20,1
7072,3,860,110,10,184,20,1
5611,3,375,85,10,109,7,0
26,4,425,160,5,72,9,0
4200,3,355,64,8,70,27,0
1308,3,930,115,17,162,60,1
3311,3,775,140,17,73,24,1
2703,3,1375,59,11,102,86,0
7779,3,1020,81,7,5,107,0
964,3,840,85,17,137,113,1
5,3,800,201,1,1,6,0
6337,3,697,58,7,6,172,1
6472,3,770,105,9,200,27,1
938,3,1335,69,15,54,52,0
6351,3,1095,156,7,6,202,0
6401,3,360,53,9,164,27,0
3117,3,1120,84,7,62,30,0
5211,3,865,122,10,128,40,0
5972,3,1180,95,11,65,103,1
1218,3,715,145,1,72,40,1
1225,3,855,123,5,15,42,1
287,3,1125,144,16,128,24,0
83,3,795,374,5,82,3,1
1770,3,860,120,1,108,35,1
1768,3,730,144,1,71,1,1
1558,3,655,60,2,71,67,0
3105,3,1175,78,11,102,65,0
1930,3,855,158,1,132,22,1
2118,3,1040,115,17,126,45,1
2107,3,800,169,4,173,4,1
3669,3,390,75,8,113,26,1
475,3,360,133,13,108,6,1
514,3,780,75,17,4,10,0
1844,3,530,97,4,130,40,0
2233,3,1170,59,4,54,90,1
5237,3,1015,105,10,88,35,1
303,4,435,165,2,83,6,1
3085,3,620,68,11,80,39,1
2176,3,985,115,17,133,12,1
1114,4,405,170,2,183,25,0
1739,3,1065,85,17,30,35,1
2396,3,1035,125,11,14,5,0
47,3,1000,55,17,84,50,1
1308,3,400,142,4,73,7,0
763,3,755,300,17,22,12,1
1095,3,1085,70,17,75,41,1
1845,3,959,71,4,54,52,1
912,4,360,120,15,16,41,0
608,3,385,185,2,205,2,0
2642,3,1075,79,12,108,20,0
6699,3,1149,108,7,125,24,0
1155,3,775,85,17,103,49,1
2433,3,710,82,4,108,7,0
84,3,1045,150,4,54,9,1
6368,3,920,98,9,136,119,1
4176,3,360,80,14,75,6,0
2851,3,875,140,14,71,153,1
568,3,497,275,13,65,38,0
996,3,1250,95,17,197,60,1
1859,3,495,163,4,82,7,0
1924,3,700,85,1,108,41,0
4650,4,360,150,14,83,7,0
4561,3,905,114,7,5,64,1
536,3,420,132,13,65,25,1
2517,3,1185,278,4,130,33,1
6232,3,513,88,7,4,135,1
4162,3,1045,79,8,130,127,1
131,3,1180,125,17,137,128,1
32,3,810,75,0,28,0,0
2010,3,1035,67,11,138,51,1
2367,3,398,171,11,66,0,0
1372,3,1015,125,2,183,42,0
532,3,810,203,0,102,25,0
428,3,1105,173,5,86,35,1
602,3,418,111,13,65,40,0
936,3,990,181,1,1,4,1
6365,3,972,78,9,121,5,0
2605,3,330,62,12,59,1,0
953,3,631,145,15,72,41,1
3892,3,350,140,14,53,6,0
5248,3,616,70,10,69,7,1
4784,3,1185,162,7,5,4,1
1812,3,1170,355,2,183,15,1
179,3,595,390,2,82,18,1
1015,3,715,70,17,30,82,1
1482,4,400,170,17,101,13,1
1279,3,410,255,17,1,41,1
722,3,744,71,0,28,0,0
673,3,450,55,17,39,117,0
1606,3,545,270,4,2,5,0
2903,3,805,55,17,73,50,0
6964,4,440,50,7,55,3,1
6937,3,811,60,7,191,24,0
2993,3,780,120,17,16,41,1
168,3,884,153,13,202,24,1
1178,3,555,155,17,128,35,1
275,3,1052,98,13,65,43,1
1235,3,460,95,17,103,49,1
2718,3,605,125,14,35,2,0
104,3,445,118,4,54,5,0
1423,3,1145,50,17,30,92,1
2953,3,1034,239,4,130,10,1
6746,3,1307,70,7,6,152,0
397,3,686,225,13,4,6,0
7011,3,390,57,7,221,15,0
1830,3,1020,271,4,5,9,0
1545,3,450,100,4,88,5,0
1467,3,550,105,2,71,55,0
398,3,370,120,2,65,25,0
3693,3,895,160,14,56,19,0
110,3,1210,249,13,65,33,0
807,3,545,90,17,133,88,0
2565,3,520,337,4,54,8,1
3933,3,731,112,8,75,26,0
493,3,1060,377,5,15,3,1
6480,3,346,34,7,98,28,0
5317,3,693,76,10,49,7,1
621,3,640,260,2,71,3,1
1297,4,360,168,4,82,7,0
346,3,405,105,17,5,12,0
6726,3,800,105,9,108,27,0
6693,3,920,87,9,130,84,1
2943,4,390,130,14,71,27,0
7003,4,414,156,7,21,15,1
7295,3,1036,49,12,61,6,1
2206,3,1230,77,4,54,1,1
3968,3,1210,182,8,82,6,0
2867,3,1135,113,4,171,5,0
1827,3,668,120,4,54,37,1
2702,3,735,135,4,22,27,0
1124,3,1205,110,1,108,25,1
1766,3,890,80,1,108,40,0
